Origin,Year,Enplanements
DFW,1999,"27,847,839"
DFW,2000,"28,153,721"
DFW,2001,"25,499,466"
DFW,2002,"24,515,005"
DFW,2003,"24,999,224"
DFW,2004,"28,024,333"
DFW,2005,"28,025,602"
DFW,2006,"28,587,303"
DFW,2007,"28,432,239"
DFW,2008,"27,162,113"
DFW,2009,"26,606,411"
DFW,2010,"27,039,637"
DFW,2011,"27,457,009"
DFW,2012,"28,017,715"
DFW,2013,"29,035,555"
DFW,2014,"30,798,060"
DFW,2015,"31,596,649"
DFW,2016,"28,743,805"
DEN,1990,"12,009,097"
DEN,1991,"12,358,848"
DEN,1992,"13,475,008"
DEN,1993,"14,172,462"
DEN,1994,"14,706,202"
DEN,1995,"14,296,306"
DEN,1996,"15,331,601"
DEN,1997,"16,037,209"
DEN,1998,"16,989,051"
DEN,1999,"17,647,820"
DEN,2000,"17,956,129"
DEN,2001,"16,683,694"
DEN,2002,"16,555,805"
DEN,2003,"17,994,882"
DEN,2004,"20,406,977"
DEN,2005,"20,801,787"
DEN,2006,"22,829,433"
DEN,2007,"24,117,226"
DEN,2008,"24,287,622"
DEN,2009,"23,967,369"
DEN,2010,"25,241,949"
DEN,2011,"25,666,527"
DEN,2012,"25,798,113"
DEN,2013,"25,496,051"
DEN,2014,"25,999,659"
DEN,2015,"26,279,456"
DEN,2016,"25,943,038"
JFK,1990,"13,766,505"
JFK,1991,"11,992,926"
JFK,1992,"12,585,149"
JFK,1993,"12,085,134"
JFK,1994,"13,099,050"
JFK,1995,"13,901,007"
JFK,1996,"14,417,337"
JFK,1997,"14,687,903"
JFK,1998,"15,017,774"
JFK,1999,"15,313,154"
JFK,2000,"16,011,550"
JFK,2001,"14,446,073"
JFK,2002,"14,604,169"
JFK,2003,"15,681,504"
JFK,2004,"18,576,705"
JFK,2005,"20,200,741"
JFK,2006,"21,157,567"
JFK,2007,"23,407,498"
JFK,2008,"23,652,160"
JFK,2009,"22,740,141"
JFK,2010,"22,934,534"
JFK,2011,"23,662,958"
JFK,2012,"24,490,436"
JFK,2013,"25,082,564"
JFK,2014,"26,265,500"
JFK,2015,"27,961,670"
JFK,2016,"26,679,653"
SFO,1990,"14,569,249"
SFO,1991,"15,010,375"
SFO,1992,"15,161,240"
SFO,1993,"15,048,437"
SFO,1994,"15,592,928"
SFO,1995,"16,457,823"
SFO,1996,"17,935,063"
SFO,1997,"18,724,163"
SFO,1998,"18,398,874"
SFO,1999,"18,482,285"
SFO,2000,"18,939,463"
SFO,2001,"15,884,450"
SFO,2002,"14,396,782"
SFO,2003,"14,079,072"
SFO,2004,"15,603,921"
SFO,2005,"16,069,026"
SFO,2006,"16,259,018"
SFO,2007,"17,277,487"
SFO,2008,"18,153,403"
SFO,2009,"18,450,441"
SFO,2010,"19,345,491"
SFO,2011,"20,056,305"
SFO,2012,"21,302,981"
SFO,2013,"21,701,452"
SFO,2014,"22,753,057"
SFO,2015,"24,234,988"
SFO,2016,"23,545,168"
PHX,1990,"10,742,051"
PHX,1991,"10,998,363"
PHX,1992,"10,751,472"
PHX,1993,"11,264,493"
PHX,1994,"12,464,575"
PHX,1995,"13,546,212"
PHX,1996,"14,805,195"
PHX,1997,"14,742,609"
PHX,1998,"15,183,034"
PHX,1999,"16,229,936"
PHX,2000,"17,434,810"
PHX,2001,"16,739,371"
PHX,2002,"16,449,738"
PHX,2003,"18,234,953"
PHX,2004,"19,335,831"
PHX,2005,"20,315,043"
PHX,2006,"20,599,417"
PHX,2007,"20,793,322"
PHX,2008,"19,448,700"
PHX,2009,"18,557,881"
PHX,2010,"18,897,088"
PHX,2011,"19,749,531"
PHX,2012,"19,555,233"
PHX,2013,"19,523,860"
PHX,2014,"20,344,523"
PHX,2015,"21,351,106"
PHX,2016,"19,105,225"
LAS,1990,"7,845,846"
LAS,1991,"8,296,350"
LAS,1992,"8,425,527"
LAS,1993,"9,067,952"
LAS,1994,"10,688,024"
LAS,1995,"11,534,550"
LAS,1996,"13,180,123"
LAS,1997,"13,253,572"
LAS,1998,"13,119,018"
LAS,1999,"14,657,465"
LAS,2000,"16,248,355"
LAS,2001,"15,932,368"
LAS,2002,"15,887,457"
LAS,2003,"17,294,656"
LAS,2004,"19,941,876"
LAS,2005,"21,322,976"
LAS,2006,"21,980,358"
LAS,2007,"22,430,439"
LAS,2008,"20,894,692"
LAS,2009,"19,321,196"
LAS,2010,"18,929,252"
LAS,2011,"19,753,938"
LAS,2012,"19,847,712"
LAS,2013,"19,908,523"
LAS,2014,"20,412,698"
LAS,2015,"21,698,692"
LAS,2016,"20,901,616"
IAH,1990,"7,810,791"
IAH,1991,"8,121,412"
IAH,1992,"8,664,304"
IAH,1993,"9,029,528"
IAH,1994,"10,042,500"
IAH,1995,"11,312,621"
IAH,1996,"12,033,847"
IAH,1997,"13,176,593"
IAH,1998,"14,226,756"
IAH,1999,"15,187,045"
IAH,2000,"16,313,830"
IAH,2001,"16,156,404"
IAH,2002,"15,828,131"
IAH,2003,"16,160,145"
IAH,2004,"17,323,709"
IAH,2005,"19,031,865"
IAH,2006,"20,527,864"
IAH,2007,"20,766,762"
IAH,2008,"20,050,400"
IAH,2009,"19,285,930"
IAH,2010,"19,524,264"
IAH,2011,"19,303,126"
IAH,2012,"19,047,368"
IAH,2013,"18,956,478"
IAH,2014,"19,767,611"
IAH,2015,"20,641,564"
IAH,2016,"18,309,564"
MIA,1990,"11,719,539"
MIA,1991,"12,051,889"
MIA,1992,"11,935,547"
MIA,1993,"12,938,997"
MIA,1994,"13,679,240"
MIA,1995,"15,104,179"
MIA,1996,"14,966,404"
MIA,1997,"15,356,766"
MIA,1998,"15,944,631"
MIA,1999,"16,164,142"
MIA,2000,"16,165,376"
MIA,2001,"14,638,669"
MIA,2002,"14,028,561"
MIA,2003,"14,214,130"
MIA,2004,"14,520,187"
MIA,2005,"15,092,191"
MIA,2006,"15,677,101"
MIA,2007,"16,243,724"
MIA,2008,"16,378,965"
MIA,2009,"16,251,940"
MIA,2010,"17,019,954"
MIA,2011,"18,358,931"
MIA,2012,"18,986,659"
MIA,2013,"19,454,872"
MIA,2014,"19,468,545"
MIA,2015,"21,041,151"
MIA,2016,"19,016,898"
EWR,1990,"10,474,851"
EWR,1991,"10,445,578"
EWR,1992,"11,155,759"
EWR,1993,"11,683,705"
EWR,1994,"12,788,464"
EWR,1995,"12,739,967"
EWR,1996,"13,966,455"
EWR,1997,"15,058,211"
EWR,1998,"16,090,426"
EWR,1999,"16,608,248"
EWR,2000,"17,039,625"
EWR,2001,"15,399,870"
EWR,2002,"14,492,494"
EWR,2003,"14,645,455"
EWR,2004,"15,828,360"
EWR,2005,"16,432,816"
EWR,2006,"17,818,148"
EWR,2007,"18,206,463"
EWR,2008,"17,717,924"
EWR,2009,"16,704,844"
EWR,2010,"16,570,287"
EWR,2011,"16,812,477"
EWR,2012,"17,054,902"
EWR,2013,"17,550,842"
EWR,2014,"17,747,452"
EWR,2015,"18,712,932"
EWR,2016,"18,150,213"
DTW,1990,"9,973,091"
DTW,1991,"9,592,572"
DTW,1992,"10,201,786"
DTW,1993,"10,775,501"
DTW,1994,"11,985,470"
DTW,1995,"13,087,247"
DTW,1996,"13,955,997"
DTW,1997,"14,697,816"
DTW,1998,"14,982,692"
DTW,1999,"16,623,342"
DTW,2000,"17,114,038"
DTW,2001,"15,538,433"
DTW,2002,"15,218,266"
DTW,2003,"15,784,117"
DTW,2004,"17,046,224"
DTW,2005,"17,580,065"
DTW,2006,"17,478,867"
DTW,2007,"17,494,571"
DTW,2008,"16,990,042"
DTW,2009,"15,196,473"
DTW,2010,"15,631,049"
DTW,2011,"15,715,268"
DTW,2012,"15,599,412"
DTW,2013,"15,684,033"
DTW,2014,"15,775,759"
DTW,2015,"16,256,476"
DTW,2016,"15,489,594"
MSP,1990,"8,860,837"
MSP,1991,"8,908,643"
MSP,1992,"9,714,984"
MSP,1993,"10,079,113"
MSP,1994,"10,469,930"
MSP,1995,"11,461,685"
MSP,1996,"12,225,044"
MSP,1997,"13,490,593"
MSP,1998,"13,510,002"
MSP,1999,"15,080,299"
MSP,2000,"16,755,637"
MSP,2001,"15,658,175"
MSP,2002,"15,301,472"
MSP,2003,"16,105,420"
MSP,2004,"17,477,342"
MSP,2005,"17,969,099"
MSP,2006,"17,183,299"
MSP,2007,"16,954,880"
MSP,2008,"16,362,776"
MSP,2009,"15,535,789"
MSP,2010,"15,508,967"
MSP,2011,"15,887,842"
MSP,2012,"15,937,515"
MSP,2013,"16,277,139"
MSP,2014,"16,970,292"
MSP,2015,"17,633,994"
MSP,2016,"16,702,387"
MCO,1990,"8,286,439"
MCO,1991,"8,293,359"
MCO,1992,"9,368,711"
MCO,1993,"9,416,890"
MCO,1994,"9,791,919"
MCO,1995,"9,708,026"
MCO,1996,"11,370,410"
MCO,1997,"12,277,013"
MCO,1998,"12,517,123"
MCO,1999,"13,333,991"
MCO,2000,"14,448,700"
MCO,2001,"13,462,959"
MCO,2002,"12,918,987"
MCO,2003,"13,396,584"
MCO,2004,"15,277,623"
MCO,2005,"16,600,608"
MCO,2006,"16,812,940"
MCO,2007,"17,614,201"
MCO,2008,"17,305,737"
MCO,2009,"16,356,403"
MCO,2010,"17,031,191"
MCO,2011,"17,267,097"
MCO,2012,"17,159,060"
MCO,2013,"16,936,114"
MCO,2014,"17,274,906"
MCO,2015,"18,766,753"
MCO,2016,"18,528,253"
CLT,1990,"7,084,643"
CLT,1991,"7,687,233"
CLT,1992,"8,241,429"
CLT,1993,"7,794,511"
CLT,1994,"9,425,543"
CLT,1995,"9,659,732"
CLT,1996,"10,062,234"
CLT,1997,"10,402,054"
CLT,1998,"10,316,241"
CLT,1999,"9,525,456"
CLT,2000,"10,440,770"
CLT,2001,"10,270,236"
CLT,2002,"10,620,345"
CLT,2003,"11,433,268"
CLT,2004,"12,499,034"
CLT,2005,"14,008,781"
CLT,2006,"14,748,451"
CLT,2007,"16,584,321"
CLT,2008,"17,280,046"
CLT,2009,"17,160,692"
CLT,2010,"18,628,187"
CLT,2011,"19,021,069"
CLT,2012,"20,031,188"
CLT,2013,"21,341,414"
CLT,2014,"21,537,523"
CLT,2015,"21,914,336"
CLT,2016,"19,747,765"
SEA,1990,"7,570,415"
SEA,1991,"7,829,458"
SEA,1992,"8,467,053"
SEA,1993,"8,998,750"
SEA,1994,"10,082,161"
SEA,1995,"10,909,345"
SEA,1996,"11,690,702"
SEA,1997,"11,983,237"
SEA,1998,"12,438,105"
SEA,1999,"13,274,768"
SEA,2000,"13,538,418"
SEA,2001,"12,921,568"
SEA,2002,"12,881,663"
SEA,2003,"13,069,986"
SEA,2004,"14,054,076"
SEA,2005,"14,318,589"
SEA,2006,"14,690,180"
SEA,2007,"15,405,640"
SEA,2008,"15,828,947"
SEA,2009,"15,252,175"
SEA,2010,"15,379,330"
SEA,2011,"15,941,670"
SEA,2012,"16,094,355"
SEA,2013,"16,655,114"
SEA,2014,"17,851,216"
SEA,2015,"20,140,913"
SEA,2016,"20,067,548"
BOS,1990,"10,178,600"
BOS,1991,"9,417,569"
BOS,1992,"10,227,410"
BOS,1993,"10,782,351"
BOS,1994,"11,295,688"
BOS,1995,"11,256,874"
BOS,1996,"11,397,742"
BOS,1997,"11,388,259"
BOS,1998,"11,724,735"
BOS,1999,"12,250,184"
BOS,2000,"12,890,988"
BOS,2001,"11,233,712"
BOS,2002,"10,806,333"
BOS,2003,"11,091,820"
BOS,2004,"12,761,943"
BOS,2005,"13,214,505"
BOS,2006,"13,562,854"
BOS,2007,"13,783,353"
BOS,2008,"12,819,351"
BOS,2009,"12,555,629"
BOS,2010,"13,561,236"
BOS,2011,"14,170,082"
BOS,2012,"14,292,099"
BOS,2013,"14,774,481"
BOS,2014,"15,497,257"
BOS,2015,"16,348,533"
BOS,2016,"16,333,453"
PHL,1990,"7,162,857"
PHL,1991,"6,523,271"
PHL,1992,"7,048,988"
PHL,1993,"7,385,229"
PHL,1994,"7,715,065"
PHL,1995,"8,146,868"
PHL,1996,"8,725,646"
PHL,1997,"9,910,342"
PHL,1998,"10,535,828"
PHL,1999,"10,657,447"
PHL,2000,"11,354,810"
PHL,2001,"10,713,049"
PHL,2002,"10,998,956"
PHL,2003,"11,849,014"
PHL,2004,"13,824,185"
PHL,2005,"15,375,606"
PHL,2006,"15,398,617"
PHL,2007,"15,655,965"
PHL,2008,"15,585,347"
PHL,2009,"15,002,031"
PHL,2010,"14,948,432"
PHL,2011,"14,881,319"
PHL,2012,"14,587,735"
PHL,2013,"14,725,761"
PHL,2014,"14,786,389"
PHL,2015,"15,106,243"
PHL,2016,"13,457,026"
LGA,1990,"11,083,550"
LGA,1991,"9,474,937"
LGA,1992,"9,631,674"
LGA,1993,"9,602,505"
LGA,1994,"10,048,310"
LGA,1995,"10,002,149"
LGA,1996,"9,941,544"
LGA,1997,"10,255,646"
LGA,1998,"10,766,216"
LGA,1999,"11,238,263"
LGA,2000,"11,872,487"
LGA,2001,"10,679,882"
LGA,2002,"10,386,303"
LGA,2003,"11,367,126"
LGA,2004,"12,324,954"
LGA,2005,"13,010,307"
LGA,2006,"12,924,863"
LGA,2007,"12,529,608"
LGA,2008,"11,567,178"
LGA,2009,"11,084,061"
LGA,2010,"12,011,138"
LGA,2011,"11,988,842"
LGA,2012,"12,818,461"
LGA,2013,"13,371,152"
LGA,2014,"13,521,972"
LGA,2015,"14,322,499"
LGA,2016,"13,547,121"
HNL,1990,"10,293,032"
HNL,1991,"9,833,705"
HNL,1992,"9,974,965"
HNL,1993,"9,777,682"
HNL,1994,"10,094,644"
HNL,1995,"10,231,023"
HNL,1996,"10,574,938"
HNL,1997,"10,739,756"
HNL,1998,"10,182,730"
HNL,1999,"10,107,715"
HNL,2000,"10,381,179"
HNL,2001,"9,172,178"
HNL,2002,"9,081,093"
HNL,2003,"8,896,302"
HNL,2004,"9,383,105"
HNL,2005,"9,677,744"
HNL,2006,"9,722,151"
HNL,2007,"10,330,311"
HNL,2008,"9,020,066"
HNL,2009,"8,732,462"
HNL,2010,"8,718,508"
HNL,2011,"8,621,211"
HNL,2012,"9,203,735"
HNL,2013,"9,496,324"
HNL,2014,"9,450,151"
HNL,2015,"9,550,523"
HNL,2016,"8,838,883"
STL,1990,"9,303,131"
STL,1991,"9,304,471"
STL,1992,"10,289,865"
STL,1993,"9,744,215"
STL,1994,"11,453,674"
STL,1995,"12,636,992"
STL,1996,"13,441,937"
STL,1997,"13,879,056"
STL,1998,"14,143,941"
STL,1999,"14,866,589"
STL,2000,"15,028,632"
STL,2001,"12,844,105"
STL,2002,"11,957,889"
STL,2003,"9,943,830"
STL,2004,"6,378,121"
STL,2005,"6,844,670"
STL,2006,"7,036,065"
STL,2007,"7,124,745"
STL,2008,"6,739,741"
STL,2009,"6,082,942"
STL,2010,"6,042,990"
STL,2011,"6,158,181"
STL,2012,"6,194,708"
STL,2013,"6,211,205"
STL,2014,"6,106,588"
STL,2015,"6,241,234"
STL,2016,"6,220,010"
SLC,1990,"5,240,492"
SLC,1991,"5,323,338"
SLC,1992,"5,658,089"
SLC,1993,"6,844,497"
SLC,1994,"7,824,732"
SLC,1995,"8,223,684"
SLC,1996,"9,439,811"
SLC,1997,"9,413,120"
SLC,1998,"9,071,895"
SLC,1999,"8,688,565"
SLC,2000,"8,727,333"
SLC,2001,"7,844,568"
SLC,2002,"7,749,115"
SLC,2003,"8,957,923"
SLC,2004,"8,883,454"
SLC,2005,"10,601,658"
SLC,2006,"10,286,481"
SLC,2007,"10,560,041"
SLC,2008,"9,992,083"
SLC,2009,"9,901,447"
SLC,2010,"9,908,304"
SLC,2011,"9,700,405"
SLC,2012,"9,578,422"
SLC,2013,"9,665,781"
SLC,2014,"10,138,021"
SLC,2015,"10,633,805"
SLC,2016,"10,247,821"
BWI,1990,"4,517,424"
BWI,1991,"4,376,847"
BWI,1992,"3,776,275"
BWI,1993,"4,024,643"
BWI,1994,"5,638,345"
BWI,1995,"5,820,931"
BWI,1996,"6,056,230"
BWI,1997,"6,478,321"
BWI,1998,"6,949,762"
BWI,1999,"8,125,436"
BWI,2000,"9,169,093"
BWI,2001,"9,617,127"
BWI,2002,"9,151,106"
BWI,2003,"9,679,505"
BWI,2004,"10,023,773"
BWI,2005,"9,779,414"
BWI,2006,"10,255,499"
BWI,2007,"10,444,940"
BWI,2008,"10,162,839"
BWI,2009,"10,291,962"
BWI,2010,"10,794,371"
BWI,2011,"11,007,261"
BWI,2012,"11,125,066"
BWI,2013,"11,052,735"
BWI,2014,"10,962,242"
BWI,2015,"11,703,419"
BWI,2016,"11,251,934"
FLL,1990,"4,176,501"
FLL,1991,"3,737,724"
FLL,1992,"3,847,846"
FLL,1993,"4,064,184"
FLL,1994,"4,820,369"
FLL,1995,"4,404,950"
FLL,1996,"5,141,469"
FLL,1997,"5,747,527"
FLL,1998,"5,831,939"
FLL,1999,"6,623,521"
FLL,2000,"7,572,973"
FLL,2001,"7,800,042"
FLL,2002,"8,040,161"
FLL,2003,"8,685,093"
FLL,2004,"10,040,492"
FLL,2005,"10,730,167"
FLL,2006,"10,250,613"
FLL,2007,"11,080,135"
FLL,2008,"11,019,532"
FLL,2009,"10,242,482"
FLL,2010,"10,838,990"
FLL,2011,"11,342,990"
FLL,2012,"11,444,558"
FLL,2013,"11,507,263"
FLL,2014,"11,984,842"
FLL,2015,"13,085,307"
FLL,2016,"12,905,476"
IAD,1990,"4,745,840"
IAD,1991,"5,004,363"
IAD,1992,"4,829,382"
IAD,1993,"4,421,442"
IAD,1994,"4,643,254"
IAD,1995,"5,056,552"
IAD,1996,"5,245,550"
IAD,1997,"5,555,336"
IAD,1998,"6,096,231"
IAD,1999,"7,600,274"
IAD,2000,"7,678,722"
IAD,2001,"6,797,895"
IAD,2002,"6,907,376"
IAD,2003,"8,044,997"
IAD,2004,"10,953,892"
IAD,2005,"13,031,134"
IAD,2006,"11,062,720"
IAD,2007,"11,810,711"
IAD,2008,"11,428,474"
IAD,2009,"11,122,438"
IAD,2010,"11,276,088"
IAD,2011,"11,041,257"
IAD,2012,"10,806,218"
IAD,2013,"10,572,289"
IAD,2014,"10,416,541"
IAD,2015,"10,396,530"
IAD,2016,"9,707,913"
DCA,1990,"7,032,033"
DCA,1991,"6,627,775"
DCA,1992,"6,850,789"
DCA,1993,"7,182,414"
DCA,1994,"6,974,785"
DCA,1995,"6,920,220"
DCA,1996,"6,764,324"
DCA,1997,"7,011,585"
DCA,1998,"7,071,284"
DCA,1999,"6,662,430"
DCA,2000,"6,984,244"
DCA,2001,"5,808,856"
DCA,2002,"5,816,286"
DCA,2003,"6,810,846"
DCA,2004,"7,661,532"
DCA,2005,"8,623,907"
DCA,2006,"8,972,029"
DCA,2007,"9,038,169"
DCA,2008,"8,704,401"
DCA,2009,"8,489,931"
DCA,2010,"8,736,532"
DCA,2011,"9,052,709"
DCA,2012,"9,461,660"
DCA,2013,"9,837,544"
DCA,2014,"10,107,852"
DCA,2015,"11,246,427"
DCA,2016,"10,546,094"
SAN,1990,"5,274,844"
SAN,1991,"5,408,393"
SAN,1992,"5,658,795"
SAN,1993,"5,716,385"
SAN,1994,"6,200,318"
SAN,1995,"6,359,079"
SAN,1996,"6,597,642"
SAN,1997,"6,798,266"
SAN,1998,"7,090,771"
SAN,1999,"7,362,831"
SAN,2000,"7,739,224"
SAN,2001,"7,362,837"
SAN,2002,"7,278,376"
SAN,2003,"7,564,322"
SAN,2004,"8,135,721"
SAN,2005,"8,628,168"
SAN,2006,"8,695,344"
SAN,2007,"9,136,959"
SAN,2008,"9,006,171"
SAN,2009,"8,449,034"
SAN,2010,"8,429,167"
SAN,2011,"8,461,733"
SAN,2012,"8,684,277"
SAN,2013,"8,873,785"
SAN,2014,"9,331,936"
SAN,2015,"9,994,579"
SAN,2016,"9,478,193"
TPA,1990,"5,082,674"
TPA,1991,"4,522,421"
TPA,1992,"4,542,166"
TPA,1993,"4,698,010"
TPA,1994,"5,556,437"
TPA,1995,"5,099,499"
TPA,1996,"5,870,893"
TPA,1997,"6,076,429"
TPA,1998,"6,420,036"
TPA,1999,"7,069,990"
TPA,2000,"7,581,611"
TPA,2001,"7,585,140"
TPA,2002,"7,480,402"
TPA,2003,"7,625,170"
TPA,2004,"8,435,737"
TPA,2005,"9,297,308"
TPA,2006,"9,192,167"
TPA,2007,"9,305,902"
TPA,2008,"8,871,267"
TPA,2009,"8,262,489"
TPA,2010,"8,136,910"
TPA,2011,"8,173,686"
TPA,2012,"8,215,487"
TPA,2013,"8,271,106"
TPA,2014,"8,536,958"
TPA,2015,"9,155,486"
TPA,2016,"8,404,311"
MDW,1990,"3,566,769"
MDW,1991,"2,935,166"
MDW,1992,"1,970,141"
MDW,1993,"2,964,595"
MDW,1994,"4,048,832"
MDW,1995,"4,147,636"
MDW,1996,"4,405,773"
MDW,1997,"4,395,776"
MDW,1998,"5,122,673"
MDW,1999,"6,128,074"
MDW,2000,"7,004,481"
MDW,2001,"7,070,550"
MDW,2002,"7,868,741"
MDW,2003,"8,684,063"
MDW,2004,"9,238,736"
MDW,2005,"8,381,100"
MDW,2006,"8,913,930"
MDW,2007,"9,128,003"
MDW,2008,"8,016,908"
MDW,2009,"8,252,347"
MDW,2010,"8,517,757"
MDW,2011,"9,130,533"
MDW,2012,"9,430,545"
MDW,2013,"9,906,798"
MDW,2014,"10,309,810"
MDW,2015,"10,829,115"
MDW,2016,"10,189,016"
PIT,1990,"7,922,031"
PIT,1991,"7,713,803"
PIT,1992,"8,562,686"
PIT,1993,"8,359,988"
PIT,1994,"8,978,322"
PIT,1995,"9,193,745"
PIT,1996,"9,349,946"
PIT,1997,"9,225,245"
PIT,1998,"8,954,372"
PIT,1999,"8,021,925"
PIT,2000,"8,603,423"
PIT,2001,"8,683,028"
PIT,2002,"7,856,243"
PIT,2003,"7,047,345"
PIT,2004,"6,606,255"
PIT,2005,"5,197,609"
PIT,2006,"4,944,613"
PIT,2007,"4,875,022"
PIT,2008,"4,298,192"
PIT,2009,"3,956,374"
PIT,2010,"4,005,519"
PIT,2011,"4,068,935"
PIT,2012,"3,890,525"
PIT,2013,"3,811,226"
PIT,2014,"3,826,988"
PIT,2015,"3,894,492"
PIT,2016,"3,663,873"
CVG,1990,"3,926,554"
CVG,1991,"4,330,626"
CVG,1992,"4,930,321"
CVG,1993,"5,142,009"
CVG,1994,"5,455,719"
CVG,1995,"5,970,631"
CVG,1996,"7,307,152"
CVG,1997,"7,665,752"
CVG,1998,"7,839,765"
CVG,1999,"7,725,560"
CVG,2000,"10,032,881"
CVG,2001,"8,398,644"
CVG,2002,"10,164,386"
CVG,2003,"10,442,825"
CVG,2004,"10,864,512"
CVG,2005,"11,277,043"
CVG,2006,"7,983,799"
CVG,2007,"7,727,789"
CVG,2008,"6,648,239"
CVG,2009,"5,193,737"
CVG,2010,"3,906,481"
CVG,2011,"3,421,648"
CVG,2012,"2,932,369"
CVG,2013,"2,791,559"
CVG,2014,"2,874,342"
CVG,2015,"3,049,241"
CVG,2016,"3,003,119"
PDX,1990,"3,042,215"
PDX,1991,"3,156,559"
PDX,1992,"3,500,556"
PDX,1993,"4,096,535"
PDX,1994,"4,825,575"
PDX,1995,"5,440,837"
PDX,1996,"6,118,740"
PDX,1997,"6,227,409"
PDX,1998,"6,203,595"
PDX,1999,"6,539,532"
PDX,2000,"6,560,353"
PDX,2001,"6,012,835"
PDX,2002,"5,840,014"
PDX,2003,"6,059,021"
PDX,2004,"6,380,373"
PDX,2005,"6,797,714"
PDX,2006,"6,951,555"
PDX,2007,"7,280,911"
PDX,2008,"7,090,190"
PDX,2009,"6,427,154"
PDX,2010,"6,581,381"
PDX,2011,"6,808,236"
PDX,2012,"7,141,802"
PDX,2013,"7,451,790"
PDX,2014,"7,879,410"
PDX,2015,"8,345,913"
PDX,2016,"8,306,108"
OAK,1990,"2,641,198"
OAK,1991,"2,981,799"
OAK,1992,"3,063,556"
OAK,1993,"3,514,307"
OAK,1994,"4,029,722"
OAK,1995,"4,782,846"
OAK,1996,"4,743,871"
OAK,1997,"4,436,711"
OAK,1998,"4,482,101"
OAK,1999,"4,814,779"
OAK,2000,"5,190,736"
OAK,2001,"5,540,370"
OAK,2002,"6,029,975"
OAK,2003,"6,638,774"
OAK,2004,"6,922,284"
OAK,2005,"7,070,236"
OAK,2006,"7,076,013"
OAK,2007,"7,143,045"
OAK,2008,"5,582,917"
OAK,2009,"4,643,876"
OAK,2010,"4,671,946"
OAK,2011,"4,547,163"
OAK,2012,"4,921,502"
OAK,2013,"4,770,807"
OAK,2014,"5,067,942"
OAK,2015,"5,516,219"
OAK,2016,"5,417,068"
MCI,1990,"3,360,551"
MCI,1991,"3,292,452"
MCI,1992,"3,479,163"
MCI,1993,"3,749,307"
MCI,1994,"4,235,964"
MCI,1995,"4,501,008"
MCI,1996,"4,786,633"
MCI,1997,"5,108,590"
MCI,1998,"5,245,858"
MCI,1999,"5,570,776"
MCI,2000,"5,721,823"
MCI,2001,"5,566,418"
MCI,2002,"5,116,112"
MCI,2003,"4,836,493"
MCI,2004,"5,040,733"
